FirstName,Phone,Notes
Alice,9876543210,Follows up every Monday
Bob,9123456780,Interested in premium package
Charlie,9988776655,Asked for discount
David,9112233445,New lead from webinar
Eve,9001122334,Requires technical assistance
Frank,9898989898,Prefers weekend calls
Grace,9777666555,Needs demo next week
Hannah,9665544332,Already purchased once
Ian,9554433221,Referred by Alice
Jack,9443322110,Requested brochure
Karen,9332211009,Follow-up in 2 days
Leo,9221100998,Meeting scheduled on Friday
Mona,9110099887,Needs invoice copy
Nina,9009988776,Interested in annual plan
Oscar,8998877665,Wants call back in evening
Pam,8887766554,Sent product catalog
Quinn,8776655443,Needs clarification on pricing
Raj,8665544332,Added to mailing list
Oscar,8998877665,Wants call back in evening
Pam,8887766554,Sent product catalog
Quinn,8776655443,Needs clarification on pricing
Raj,8665544332,Added to mailing list
Sara,8554433221,Trial user
Tom,8443322110,Ready to purchase
